id,product_name,brand,category,product_url,ingredient_raw
1,The derma CO 4%ceramide Barrier Repair Moisturizer,The derma CO,"#fragrance & essentialoil-free, #paraben-free, #sulfate-free",https://www.skincarisma.com/products/the-derma-co-4-ceramide-barrier-repair-moisturizer,"Water, Ceramide 1, Ceramide 2, Ceramide 3, Ceramide 4, Ceramide AP, Caprylic/Capric Triglyceride, Niacinamide, Xylitol, Glucose, Anhydroxylitol, Phoenix Dactylifera Seed Extract, Sodium Acrylates Copolymer, Lecithin, Propylene Glycol, Polyglycerin-3, Glyceryl Stearate, Xylitylglucoside, Dimethicone, Phenoxyethanol, Ethylhexylglycerin, Shea Butter Glycerides, Cetearyl Olivate, Sorbitan Olivate, Sodium Benzoate, Stearic Acid, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Disodium EDTA, Sodium Hydroxide, Hyaluronic Acid, Glycerin, Ligustrum Lucidum Seed Extract, Fucus Vesiculosus Extract, Butylene Glycol, 1,2-Hexanediol, Tocopheryl Acetate."
2,Face Reality Barrier Care Gel Cream,Face Reality,"#fragrance & essentialoil-free, #paraben-free, #sulfate-free",https://www.skincarisma.com/products/face-reality-barrier-care-gel-cream,"Water (Aqua), Squalane, Glycerin, Dicaprylyl Ether, Hydrolyzed Jojoba Esters, Glyceryl Stearate, Dicaprylyl Carbonate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Ceramide NP, Ceramide NG, Ceramide AP, Punica Granatum Sterols, Euterpe Oleracea Sterols, Linoleic Acid, Linolenic Acid, Serine, Alanine, Glycine, Lysine Hcl, Threonine, Arginine, Proline, Betaine, Glutamic Acid, Sodium PCA, Sodium Lactate, Pca, Sodium Hyaluronate, Sodium Acetylated Hyaluronate, Sodium Hyaluronate Crosspolymer, Hydrolyzed Sodium Hyaluronate, Asiaticoside, Madecassic Acid, Centella Asiatica Extract, Asiatic Acid, Bisabolol, Allantoin, Panthenol, Jojoba Esters, Sodium Stearoyl Glutamate, Oleic Acid, Maltodextrin, Cetyl Alcohol, Beta-Glucan, Inulin, Sodium Phytate, Tocopheryl Acetate, Xanthan Gum, Polysorbate 60, Dimethicone, Polyacrylate Crosspolymer-6, Phenoxyethanol, Hydrolyzed Gardenia Florida Extract, Propanediol, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol, Citric Acid, Pentylene Glycol."
3,Palmer's Coconut Oil Formula Coconut Water Facial Moisturizer,Palmer's,"#paraben-free, #sulfate-free, #silicone-free",https://www.skincarisma.com/products/palmer-s-coconut-oil-formula-coconut-water-facial-moisturizer,"Water (Aqua), Cocos Nucifera (Coconut) Fruit Extract, Cocos Nucifera (Coconut) Oil, Lauryl Olivate, Sorbitan Olivate, Glycerin, Cocos Nucifera (Coconut) Water, Sodium Hyaluronate, Tocopherol, Lactobacillus/Papaya Fruit Ferment Extract, Gardenia Tahitensis Flower Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Macadamia Ternifolia Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Persea Gratissima (Avocado) Oil, Tocopheryl Acetate, Leuconostoc/Radish Root Ferment Filtrate, Ethylhexylglycerin, Tetrasodium EDTA, Sodium Hydroxide, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Metabisulfite, Sodium Sulfite, Fragrance (Parfum), Propylene Glycol, Phenoxyethanol, Coumarin."
4,Viva Cosmetics Glowing White Moisturizer Gel,Viva Cosmetics,"#fragrance & essentialoil-free, #paraben-free, #sulfate-free, #silicone-free",https://www.skincarisma.com/products/viva-cosmetics-glowing-white-moisturizer-gel,"Aqua, Niacinamide, Erythritol, Propylene Glycol, Glycyrrhiza Glabra Root Extract, Panthenol, Pentylene Glycol, Glutathione, Propanediol, Glycerin, Phenoxyethanol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Carbomer, Disodium EDTA, Sodium Hydroxide, Ethylhexylglycerin, Triethylene Glycol, Potassium Sorbate, Sodium Benzoate."
5,Ourdaylee Cloud Balancing Moisturizer,Ourdaylee,"#fragrance & essentialoil-free, #paraben-free, #sulfate-free, #silicone-free",https://www.skincarisma.com/products/ourdaylee-cloud-balancing-moisturizer,"Aqua Demineralisata, Propylene Glycol, Carbomer, Phenoxyethanol, Saccharide Isomerate, Glycerin, Myrothamnus Flabellifolia Leaf/Stem Extract, Caprylic/Capric Triglyceride, Triethanolamine, Sodium Hyaluronate, Chlorphenesin, Cetyl-PG Hydroxyethyl Palmitamide, Hydrogenated Lecithin, Cholesterol, Ceramide NP, Palmitoyl Tripeptide-5, Ci 42090, Ci 14720."
6,Ceramella Sunscreen SPF 50 Pa++++,The Originote,#fragrance & essentialoil-free,https://www.skincarisma.com/products/ceramella-sunscreen-spf-50-pa,"Water, Ethylhexyl Methoxycinnamate, Octocrylene, Ethylhexyl Salicylate, Isododecane, Silica, Glycerin, Propylene Glycol, Pentylene Glycol, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Cetyl Alcohol, Phenoxyethanol, Polymethylsilsesquioxane, Niacinamide, Polysorbate 80, Panthenol, Tremella Fuciformis Polysaccharide, Ethylhexylglycerin, Disodium EDTA, Zinc Oxide, Sodium Hyaluronate, Butylene Glycol, 3-O-Ethyl Ascorbic Acid, Caprylic/Capric Triglyceride, Avena Sativa (Oat) Extract, Artemisia Argyi Leaf Extract, Hydrogenated Lecithin, Behenyl Alcohol, Octyldodecanol, Hydroxyacetophenone, Ceramide NP, Ceramide AP, Ceramide NS, Ceramide NG, Hyaluronic Acid, Retinol"
7,Brightening C-Glow Serum,Azarine,#fragrance & essentialoil-free,https://www.skincarisma.com/products/brightening-c-glow-serum,"Water (Aqua), Glycerin, Centella Asiatica Extract, Terminalia Ferdinandiana Fruit Extract, Tranexamic Acid, Tocopheryl Acetate, Allantoin, Resveratrol, Ferulic Acid, Chlorphenesin, Xanthan Gum, Phenoxyethanol, Ascorbic Acid, Citric Acid, Rumex Occidentalis Extract, Sodium Ascorbyl Phosphate, Propanediol."
8,UV Shield Acne Calming Sunscreen Moisturizer SPF 35 PA+++,Wardah,#fragrance & essentialoil-free,https://www.skincarisma.com/products/uv-shield-acne-calming-sunscreen-moisturizer-spf-35-pa,"Aqua, Ethylhexyl Methoxycinnamate, Niacinamide, Butyl Methoxydibenzoylmethane, Aluminum Starch Octenylsuccinate, Phenoxyethanol, Cetearyl Olivate, Propanediol, Butylene Glycol, Octocrylene, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sorbitan Olivate, Polymethyl Methacrylate, Aminomethyl Propanol, Allantoin, Salicylic Acid, Xanthan Gum, Triethylene Glycol, Ethylhexyl Triazone, Tetrasodium EDTA, Lecithin, Panthenol, BHT"
9,UV Shield Airy Smooth Sunscreen Serum,Wardah,"#paraben-free, #sulfate-free, #alcohol-free",https://www.skincarisma.com/products/uv-shield-airy-smooth-sunscreen-serum,"Water, Ethylhexyl Methoxycinnamate, Octocrylene, Butyl Methoxydibenzoylmethane, Polymethyl Methacrylate, Dimethicone, Ethylhexyl Triazone, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Phenoxyethanol, Arachidyl Alcohol, Dipropylene Glycol, Butylene Glycol, Behenyl Alcohol, Chlorphenesin, Allantoin, Glycerin, Arachidyl Glucoside, Parfum, Kaolin, Xanthan Gum, Propanediol, Disodium EDTA, Lecithin, BHT, Trideceth-9, Centella Asiatica Extract, Vitis Vinifera Leaf Extract, PEG-40 Hydrogenated Castor Oil, Haberlea Rhodopensis Leaf Extract, Artemisia Capillaris Flower Extract, Ethylhexylglycerin, Polysorbate 20, CI 42090, CI 19140."
10,Power Serum Post Acne Serum,Hanasui,#fragrance & essentialoil-free,https://www.skincarisma.com/products/power-serum-post-acne-serum,"Water, Niacinamide, Butylene Glycol, Hydroxyethyl Urea, Potassium Azeloyl Diglycinate, Betaine, Methyl Gluceth-20, Ethoxydiglycol, Phenoxyethanol, Biosaccharide Gum-1, Glycerin, Salicylic Acid, Harungana Madagascariensis Extract, Allantoin, Dehydroxanthan Gum, Ethylhexylglycerin, Disodium EDTA, Prunus Serrulata Flower Extract, Tocopheryl Acetate, Sodium Hyaluronate"
